Date,Clicks,Impressions,CTR,Position
2024-11-04,16,68,23.53%,4.62
2024-11-03,16,73,21.92%,3.12
2024-11-02,9,37,24.32%,2.92
2024-11-01,7,39,17.95%,3.1
2024-10-31,6,43,13.95%,4.7
2024-10-30,8,73,10.96%,3.45
2024-10-29,10,59,16.95%,4.17
2024-10-28,6,37,16.22%,2.68
2024-10-27,8,58,13.79%,4.21
2024-10-26,6,38,15.79%,2.92
2024-10-25,9,60,15%,3.72
2024-10-24,5,49,10.2%,5.18
2024-10-23,10,72,13.89%,3.74
2024-10-22,9,56,16.07%,4.3
2024-10-21,7,65,10.77%,3.4
2024-10-20,14,76,18.42%,3.09
2024-10-19,5,52,9.62%,5.79
2024-10-18,6,64,9.38%,5.59
2024-10-17,8,83,9.64%,3.94
2024-10-16,6,54,11.11%,5.57
2024-10-15,6,57,10.53%,3.7
2024-10-14,12,73,16.44%,3.67
2024-10-13,6,37,16.22%,3.81
2024-10-12,6,37,16.22%,4.24
2024-10-11,7,53,13.21%,4.58
2024-10-10,13,75,17.33%,3.36
2024-10-09,15,102,14.71%,2.72
2024-10-08,10,69,14.49%,3.19
2024-10-07,3,33,9.09%,4.67
2024-10-06,3,31,9.68%,4.55
2024-10-05,8,37,21.62%,3.73
2024-10-04,4,49,8.16%,4.39
2024-10-03,6,33,18.18%,5.15
2024-10-02,10,58,17.24%,6.47
2024-10-01,7,51,13.73%,5.45
2024-09-30,6,62,9.68%,5.45
2024-09-29,8,62,12.9%,7.92
2024-09-28,4,31,12.9%,5.71
2024-09-27,3,53,5.66%,6.34
2024-09-26,11,70,15.71%,4.37
2024-09-25,8,59,13.56%,4.2
2024-09-24,11,50,22%,5.98
2024-09-23,15,59,25.42%,4.8
2024-09-22,10,60,16.67%,5.03
2024-09-21,13,64,20.31%,6.7
2024-09-20,6,62,9.68%,6.6
2024-09-19,5,54,9.26%,5.85
2024-09-18,14,55,25.45%,5.6
2024-09-17,9,38,23.68%,7.47
2024-09-16,6,44,13.64%,8.32
